編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
1,今日氣象資訊,,台北市政府,,,2418,,,今日氣象資訊主要欄位說明
2,一週氣象資訊,,台北市政府,,,330,,,一週氣象資訊主要欄位說明
3,臺北市水質監測資訊,臺北自來水事業處,臺北自來水事業處,,,81,,,1.update_date : 日期 2.update_time : 時間 3.qua_id : 監控站ID 4.code_name :  監控站名稱 5.longitude : 經度 6.latitude: 緯度 7.qua_cntu: 濁度(NTU) 8.qua_cl:  餘氯(mg/L) 9.qua_ph: 酸度(pH) 10.偵測值-9係維修中，暫停偵測。
4,替代役役男家屬各項扶(慰)助經費統計表,臺北市政府兵役局,台北市政府,兵役局,,13,,,"鄉鎮市區別,合計件數,合計金額,一次安家費件數,一次安家費金額,三節生活扶助金件數,三節生活扶助金金額,生育補助金件數,生育補助金金額,喪葬補助金件數,喪葬補助金金額,急難慰助金件數,急難慰助金金額,健保補助費件數,健保補助費金額,醫療補助費件數,醫療補助費金額,傷殘安養津貼件數,傷殘安養津貼金額"
5,常備兵役役男家屬各項扶(慰)助經費統計表,臺北市政府兵役局,台北市政府,兵役局,,13,,,"鄉鎮市區別,合計件數,合計金額,一次安家費件數,一次安家費金額,三節生活扶助金件數,三節生活扶助金金額,生育補助金件數,生育補助金金額,喪葬補助金件數,喪葬補助金金額,急難慰助金件數,急難慰助金金額,健保補助費件數,健保補助費金額,醫療補助費件數,醫療補助費金額"
6,妨害兵役案件統計表,臺北市政府兵役局,台北市政府,兵役局,,18,,,"結果,總計,合計,申報不實者,無故不依規定辦理者,無故不到者,無故不申報者,未能接受徵兵處理者,未能接受現役徵集者,捏造免役者,無故拒收徵集令者,逾入營期限五日者,其他,合計,未規定辦理徵兵處理者,不實之記載者,詐欺財物者,要求期約或受賄者,其他,合計,未依規定傳達或通報者,反抗兵役推行者,意圖妨害兵役者,其他"
7,常備兵役役男家屬安家費暨三節生活扶助金統計表,臺北市政府兵役局,台北市政府,兵役局,,13,,,"鄉鎮市區別,合計發給戶數,合計發給口數,合計金額,一次安家費小計發給戶數,一次安家費小計發給口數,一次安家費小計金額,一次安家費甲級發給戶數,一次安家費甲級發給口數,一次安家費甲級金額,一次安家費乙級發給戶數,一次安家費乙級發給口數,一次安家費乙級金額,一次安家費丙級發給戶數,一次安家費丙級發給口數,一次安家費丙級金額,三節生活扶助金小計發給戶數,三節生活扶助金小計發給口數,三節生活扶助金小計金額,三節生活扶助金甲級發給戶數,三節生活扶助金甲級發給口數,三節生活扶助金甲級金額,三節生活扶助金乙級發給戶數,三節生活扶助金乙級發給口數,三節生活扶助金乙級金額,三節生活扶助金丙級發給戶數,三節生活扶助金丙級發給口數,三節生活扶助金丙級金額"
8,替代役備役列管人數分析統計表,臺北市政府兵役局,台北市政府,兵役局,,24,,,"組別,梯退,零退,遷入,小計"
9,替代役役男家屬安家費暨三節生活扶助金統計表,臺北市政府兵役局,台北市政府,兵役局,,13,,,"鄉鎮市區別,合計發給戶數,合計發給口數,合計金額,一次安家費小計發給戶數,一次安家費小計發給口數,一次安家費小計金額,一次安家費甲級發給戶數,一次安家費甲級發給口數,一次安家費甲級金額,一次安家費乙級發給戶數,一次安家費乙級發給口數,一次安家費乙級金額,一次安家費丙級發給戶數,一次安家費丙級發給口數,一次安家費丙級金額,三節生活扶助金小計發給戶數,三節生活扶助金小計發給口數,三節生活扶助金小計金額,三節生活扶助金甲級發給戶數,三節生活扶助金甲級發給口數,三節生活扶助金甲級金額,三節生活扶助金乙級發給戶數,三節生活扶助金乙級發給口數,三節生活扶助金乙級金額,三節生活扶助金丙級發給戶數,三節生活扶助金丙級發給口數,三節生活扶助金丙級金額"
10,役男徵兵檢查體位判等因素分析統計表,臺北市政府兵役局,台北市政府,兵役局,,193,,,"項次,病名,常備役暨常備役甲,常備役乙,常備役暨替代役甲,替代役乙,免役,體位未定,專科檢查,合計"
