編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
1,新北市103年公告土地現值,新北市政府地政局,新北市政府,地政局,,,,26916,country:縣市別、segment:段小段、official_value:公告現值、district:行政區、lid:地號
2,新北市垃圾清運車輛所在位置,新北市政府環境保護局,新北市政府,環境保護局,,,,21654,lineid:清運路線編號、car:車牌號碼、time:回報時間、location:所在位址、longitude:經度、latitude:緯度、cityid:行政區代號、cityname:行政區名稱
3,新北市公有路外停車場即時賸餘車位數,新北市政府交通局,新北市政府,交通局,,,,20994,AVAILABLE:停車場（汽車）目前之剩餘車位數、ID:停車場的編號
4,新北市教會資料,新北市政府民政局,新北市政府,民政局,,,,18478,CHR_Area:行政區、CHR_ID:主鍵(流水號)、CHR_Name:教會堂所名稱、CHR_Phone:電話&聯絡人、CHR_Address:地址、CHR_BuildTime:設立年月日、CHR_Charge:負責人
5,新北市NewTaipei熱點,新北市政府研究發展考核委員會,新北市政府,研究發展考核委員會,,,,14716,id(熱點代碼)、spot_name(熱點名稱)、type(熱點類別)、company(業者)、district(鄉鎮市區)、address(地址)、apparatus_name(機關構名稱)、latitude(緯度)、longitude(經度)、twd97X(twd97X座標)、twd97Y(twd97Y座標)、wgs84aX(wgs84a緯度)、wgs84aY(wgs84a經度)
6,新北市重要地標資訊,新北市政府研究發展考核委員會,新北市政府,研究發展考核委員會,,,,10716,website:網址、twd97E:twd97E、update_date:更新日期、tel:電話、address:地址、name:地標名稱、type:地標類型、twd97N:twd97N、district:行政區
7,新北市垃圾車路線,新北市政府環境保護局,新北市政府,環境保護局,,,,10535,recycling_wed:資源回收清運(星期三)、garbage_sat:一般垃圾清運(星期六)、foodscraps_sun:廚餘清運(星期日)、garbage_fri:一般垃圾清運(星期五)、foodscraps_fri:廚餘清運(星期五)、longitude:經度、city:行政區、garbage_mon:一般垃圾清運(星期一)、recycling_sun:資源回收清運(星期日)、foodscraps_wed:廚餘清運(星期三)、foodscraps_tue:廚餘清運(星期二)、recycling_fri:資源回收清運(星期五)、memo:備註、lineid:清運路線編號、recycling_tue:資源回收清運(星期二)、name:清運點名稱、garbage_tue:一般垃圾清運(星期二)、recycling_thu:資源回收清運(星期四)、garbage_wed:一般垃圾清運(星期三)、linename:清運路線名稱、foodscraps_thu:廚餘清運(星期四)、rank:清運序、foodscraps_sat:廚餘清運(星期六)、garbage_thu:一般垃圾清運(星期四)、recycling_sat:資源回收清運(星期六)、garbage_sun:一般垃圾清運(星期日)、latitude:緯度、time:表定抵達清運時間、recycling_mon:資源回收清運(星期一)、village:清運點所屬里、foodscraps_mon:廚餘清運(星期一)
8,新北市安養堂,新北市政府社會局,新北市政府,社會局,,,,10447,no:編號、title:名稱、address:地址、tel:電話、TWD97_X:大地X軸座標、TWD97_Y:大地Y軸座標
9,新北市政府道路挖掘資訊,新北市政府工務局,新北市政府,工務局,,,,8046,ExamDate:核准日期、CaseStart:起始施工日期、ConstructionUnit:施工單位、TargetLB:路權單位代碼、ExamUnit:核准單位、AppUnit:許可證字號、TimeStart:起始施工時段(日間)、CaseName:案件名稱、CaseType:案件類別、Supervise_Tel:申請單位電話、DigSite:挖掘地點、CaseID:案號、TimeEnd:結束施工時段(日間)、ReMark:備註、NightEnd:結束施工時段(夜間)、CaseEnd:結束施工日期、DigArea:挖掘範圍、NightStart:起始施工時段(夜間)、Construction_Man:施工單位聯絡人、Supervise_Man:申請單位聯絡人、BasicCaseID:挖掘案件編號、Supervise:申請單位、Construction_Tel:施工單位電話、TWD97X：TWD97X座標、TWD97Y：TWD97Y座標
10,新北市運動地圖,新北市政府教育局,新北市政府,教育局,,,,7331,G_ContactPhone:電話、G_Note:備註、G_pic_alt:圖檔說明、G_LArea1_Title3:標題三、G_pic:圖檔名、G_content:圖片內容、G_SportType:運動類型、G_address:地址、G_LArea1_Link3:網址三、G_CyclingArea:行經區域、G_title:名稱、G_Traffic:交通資訊、G_Toilet:是否有廁所、G_Route:路線長度、G_Activity:注意事項、G_pic_size:圖檔案大小、G_country:郵遞區號、G_WalkingTime:步行時間、G_LArea1_Link1:網址一、G_point:經緯度、G_LArea1_Title2:標題二、G_ContactUnit:聯絡單位、G_Intro:介紹、G_Parking:是否有停車場、G_sn:編號、G_DataType:運動類別、G_AccessibilityOther:身心障礙設施(其他)、G_pic_link:網址連結、G_HTMLContent:網頁內容、G_Contact:聯絡資訊、G_SportTypeOther:其他運動類型、G_LArea1_Link2:網址二、G_Accessibility:身心障礙設施、G_LArea1_Title1:標題一、G_attribute:運動場館屬性、G_Special:特色運動、G_OtherContent:出租站
