編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,桃園市臨時暨短期照顧服務之委託單位,社會局,桃園市政府,社會局,,,16,,委辦單位、電話、地址、服務對象、服務內容,
2,桃園市登革熱確診個案分布,衛生局,桃園市政府,衛生局,,,193,,"分類,編號,通報日期,發病日期,確診日期,感染地,年齡,性別,國籍,居住縣市,居住區,居住里",
3,桃園市公務出國報告,研究發展考核委員會,桃園市政府,研究發展考核委員會,,,48,,編號、計畫名稱、計畫主辦機關、前往地區、出國類別、出國期間、報告日期、主題分類、施政分類、關鍵詞、報告書頁數、報告內容摘要,
4,區公所回饋金相關計畫-華亞,經濟發展局,桃園市政府,經濟發展局,,,4,,公司名稱、年度、經費來源、額度_元、分配單位、執行單位、用途、執行結果,
5,104年各稅稅籍數及實徵稅額統計表-按區別,地方稅務局,桃園市政府,地方稅務局,,,90,,"區,地價稅_稅籍戶數,地價稅_實徵稅額(千元),使用牌照稅_車輛數,使用牌照稅_實徵稅額(千元),土地增值稅_收件數,土地增值稅_實徵稅額(千元),契稅_收件數,契稅_實徵稅額(千元)",
6,桃園市刑事案件,警察局,桃園市政府,警察局,,,194,,year(年度)、breau(地區)、type(案件種類)、h_count(發生數)、a_count(破獲數),
7,桃園市水資源回收中心位置,水務局,桃園市政府,水務局,,,649,,shp資料,
8,桃園市火災出動直升機統計,消防局,桃園市政府,消防局,,,138,,大隊分隊、受理火災案件數、直升機,
9,桃園市總預算歲出政事別預算比較總表,主計處,桃園市政府,主計處,,,105,,款、項、科目名稱、本年度預算數_千元、上年度預算數_千元、前年度決算數_千元、本年度與上年度比較_千元,
10,桃園市早期療育社區資源中心,社會局,桃園市政府,社會局,,,255,,中心名稱、委辦單位、服務區、服務內容、服務對象、服務時間,
11,桃園捷運車站設施資料,桃園捷運公司,桃園市政府,桃園捷運公司,,,307,,StationFacilityList(車站設施資料)、UpdateTime(更新日期時間)、StationFacilities(車站設施資訊)、StationFacility(車站設施資料)、StationID(車站代號)、StationName(車站中文名稱)、Elevators(無障礙電梯位置資訊)、Elevator(無障澳電梯位置資料)、Description(無障礙電梯位置描述)、FloorLevel(無障礙電梯樓層)、InformationSpots(詢問處位置資訊)、InformationSpot(詢問處位置資料)、Description(詢問處位置描述)、FloorLevel(詢問處樓層)、DrinkingFountains(飲水機位置資訊)、DrinkingFountain(飲水機位置資料)、Description(飲水機位置描述)、FloorLevel(飲水機樓層)、Toilets(廁所位置資訊)、Toilet(廁所位置資料)、Description(廁所位置描述)、FloorLevel(廁所樓層),
12,桃園市公布違反性別工作平等法事業單位,勞動局,桃園市政府,勞動局,,,312,,"項次_事業單位名稱(負責人姓名),違反法令條款,違反法規內容,處分書文號,處分日期,公布時間,備註",
13,105年度楊梅區新舊地號對照資料,地政局,桃園市政府,地政局,,,232,,"舊地號行政區,新地號行政區,舊地段名稱,新地段名稱,舊地號,新地號",
14,空氣品質監測月報表,環境保護局,桃園市政府,環境保護局,,,568,,1.人工監測站月報表：測站名稱、測站編號、總懸浮微粒監測起迄時間、總懸浮微粒監測時間天氣、總懸浮微粒監測結果、總懸浮微粒氯鹽含量、總懸浮微粒硝酸鹽含                                  量、總懸浮微粒硫酸鹽含量、總懸浮微粒鉛含量、落塵量監測起迄時間、落塵量監測結果、落塵水pH值、落塵水導電度2.自動監測站月報表：監測項目時間、NO(一氧化氮)、NO2(二氧化氮)、NOX(氮氧化物)、SO2(二氧化硫)、CO(一氧化碳)、O3(臭氧)、CH4(甲烷)、NMHC(非甲烷碳                                  氫化合物)、THC(總碳氫化合物)、PM2.5(細懸浮微粒)、PM10(懸浮微粒),
15,桃園市失業率按教育程度別分-高中(職),主計處,桃園市政府,主計處,,,14,,年別、男性、女性,
16,資訊可變標誌 設備資訊,交通局,桃園市政府,交通局,,,126,,UpdateTime(資料更新時間)、DeviceId(設備編號)、DeviceKind(設備種類)、Attribute(設備屬性)、Location(設備位置描述)、Direction(顯示方向)、WgsX(WGS座標系統X座標)、WgsY(WGS座標系統Y座標),
17,桃園市政府消防局救災救護指揮中心受理行動電話量統計,消防局,桃園市政府,消防局,,,21,,年度、總來話次數_次、總談話時間_小時、總談話時間_分、總談話時間_秒,
18,桃園市其他天然災害出動救災裝備,消防局,桃園市政府,消防局,,,21,,區域、出動救災裝備_車輛、出動救災裝備_船艇、出動救災裝備_直升機、出動救災裝備_其他,
19,桃園市各都市計畫區土地使用發展現況統計表,都市發展局,桃園市政府,都市發展局,,,352,,都市計畫名稱、都市計畫區面積、都市發展用地總計計畫面積公頃、都市發展用地總計比例百分比、都市發展用地住宅區計畫面積公頃、都市發展用地住宅區比例百分比、都市發展用地商業區計畫面積公頃、都市發展用地商業區比例百分比、都市發展用地工業區計畫面積公頃、都市發展用地工業區比例百分比、都市發展用地其他分區計畫面積公頃、都市發展用地其他分區比例百分比、都市發展用地公共設施用地計畫面積公頃、都市發展用地公共設施用地比例百分比、非都市發展用地計畫面積公頃、非都市發展用地比例百分比,
20,2016台灣燈會官網Google Analytics分析資料,研究發展考核委員會,桃園市政府,研究發展考核委員會,,,1500,,"時間索引,日期範圍,區隔(所有使用者、行動裝置流量、平板電腦和桌上型電腦流量),量化指標(新工作階段%、工作階段、平均工作階段時間長度、使用者、單次工作階段頁數、跳出率、瀏覽量)",
21,桃園市平均每戶家庭收支-支出 (91~97年),主計處,桃園市政府,主計處,,,117,,年別、經常性支出總計、消費支出、食品_合計、食品_主食品、食品_副食、食品_乳酪類、食品_水果、食品_其他食品、食品_婚生壽慶喪祭宴費、食品_在外伙食費、飲料費_合計、飲料費_非酒精性、飲料費_酒精性、菸草、衣類及個人穿著_合計、衣類及個人穿著_衣著類、衣類及個人穿著_鞋襪類、房租及水費_合計、房租及水費_房地租_實付、房租及水費_房地租_設算、房租及水費_住宅裝修費及保險費、房租及水費_水費、燃料及燈光_合計、燃料及燈光_電費、燃料及燈光_氣體燃料、燃料及燈光_其他燃料、家具及家庭設備_合計、家具及家庭設備_家具設備、家具及家庭設備_家用紡織類用品、家具及家庭設備_廳廚房浴室耐久設備、家具及家庭設備_家庭其他用具、家事管理及服務、保健及醫療藥品、交通運輸與通訊、娛樂及教育文化_合計、娛樂及教育文化_旅遊費用、娛樂及教育文化_娛樂消遣服務、娛樂及教育文化_書報雜誌文具、娛樂及教育文化_消遣康樂器材及其附屬品、娛樂及教育文化_教育文化與研究費支出、其他雜項_合計、其他雜項_不屬前述各類之其他財貨、其他雜項_人身保養及整潔、其他雜項_理髮沐浴、其他雜項_餐館舞廳等場所食品飲料菸酒、其他雜項_婚生壽慶喪祭不包括食品費、其他雜項_其他雜項費用含金融服務、非消費支出、利息支出、賦稅支出_合計、賦稅支出_所得稅、賦稅支出_其他賦稅、捐贈及其他移轉支出_合計、捐贈及其他移轉支出_對私人、捐贈及其他移轉支出_對政府、捐贈及其他移轉支出_對企業、捐贈及其他移轉支出_對國外、儲蓄,
22,桃園市合法不動產經紀業業者名冊,地政局,桃園市政府,地政局,,,206,,"登錄號碼,經紀業名稱,許可日期1,設立備查日期,地址,加盟經營，加盟公司名稱,組織型態,營業項目，不動產仲介經紀業,營業項目，不動產代銷經紀業,經營國外不動產仲介或代銷業務,負責人姓名,加入公會名稱1,加入公會名稱2",
