編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
1,臺南市食品工廠,衛生局,台南市政府,衛生局,,1,7,161,「序號」、「工廠製造場所名稱」、「食品製造類別」、「緯度」、「經度」
2,臺南市政府組織自治條例及編制表,人事處,台南市政府,人事處,,2,29,566,職稱、官等、職等、員額、備考 
3,01自99年12月至106年現住人口統計表,民政局,台南市政府,民政局,,1,4,33,01自99年12月至106年現住人口統計表
4,0206地震專區,臺南市政府,台南市政府,臺南市政府,,22,1543,10868,「編號」、「行政區」、「地址」、「經度」、「緯度」、「初勘人員」
5,臺南市政府自辦市地重劃執行情形（開發中）,地政局,台南市政府,地政局,,1,10,130, 臺南市政府自辦市地重劃執行情形（開發中）
6,特定行業清冊,經濟發展局,台南市政府,經濟發展局,,1,2,76,「商號/公司名稱」、「有無登記」、「行業別」、「負責人」、「營業地址」
7,臺南市病媒防治業者名單,環境保護局,台南市政府,環境保護局,,1,5,135,項次	管制編號	業者名稱	證件字號	地址	電話 
8,臺南市政府衛生局輔導推動健康餐飲店,衛生局,台南市政府,衛生局,,1,14,932,「店家名稱」、「地址」、「電話」、「類型」
9,臺南市流感抗病毒藥劑合約醫療機構名冊暨藥劑配置量一覽表--2017/09/20更新,衛生局,台南市政府,衛生局,,2,32,1181,「縣市」、「區別」、「區家編」、「醫療機構」、「醫院等級」、「地址」、「電話」、「合約狀態」、 「加/退入日期」
10,臺南市餐飲衛生優良店,衛生局,台南市政府,衛生局,,1,16,1167,「年度」、「市招名稱」、「類別」、「區別」、「地址」、「等級」、「緯度」、「經度」
11,臺南市各項預防接種衛生所及合約醫療院所名單,衛生局,台南市政府,衛生局,,1,10,1441,「預防接種單位名稱」、「疫苗項目」、「接種時間」、「電話」、「地址」
12,臺南市加密控制點坐標檔,地政局,台南市政府,地政局,,4,54,679,含點名、N坐標、E坐標(TWD97)
13,本府103年基層扎根廉政工程座談會,政風處,台南市政府,政風處,,1,19,315,103年基層扎根廉政工程座談會
14,臺南市政府及其所屬機關職（教）員合計年齡統計表,人事處,台南市政府,人事處,,2,11,246,＊統計項目定義： （一）年齡以戶籍登記所記載之出生年、月、日為準並以足歲計算。 （二）平均年齡計算方式，以每一階段年齡之中數乘該階段人數後求之。 ＊統計單位：人	 ＊統計分類： （一）縱行依29歲以下，30～39歲，40～49歲，50～59歲，60～65歲，65歲以上，平均年齡等分類。 （二）橫列依橫列依行政機關、事業機關、各級學校分；行政機關再按一般行政、衛生醫療、警察；事業機構再分為交通、金融等機構。
15,臺南市政府及其所屬機關職（教）員合計官等性別統計表,人事處,台南市政府,人事處,,2,12,273,＊統計分類： （一）縱行依特任、簡任、薦任、委任、雇員分；再細分為男、女。 （二）橫列依橫列依行政機關、事業機關、各級學校分；行政機關再按一般行政、衛生醫療、警察；事業機構再分為交通、金融等機構。
