編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
1,宜蘭縣殯葬設施一覽表,民政處,宜蘭縣政府,民政處,,12,,,名稱  鄉鎮市 地址 連絡單位
2,宜蘭縣寺廟慶典,民政處,宜蘭縣政府,民政處,,,,,
3,宜蘭縣最新人口數及戶數統計表,民政處,宜蘭縣政府,民政處,,14,,,
4,宜蘭縣政府106年度歲入預算執行情形表,財政處,宜蘭縣政府,財政處,,16,,,科目別 本年度預算數 截至本月底止預算分配數 實收累計數 超短收數 備註
5,106年度宜蘭縣總預算歲入來源別預算表,財政處,宜蘭縣政府,財政處,,414,,,
6,宜蘭縣縣有財產量值目錄,財政處,宜蘭縣政府,財政處,,8,,,價值總計
7,宜蘭縣促進民間參與公共建設案件一覽表,財政處,宜蘭縣政府,財政處,,15,,,
8,105年度宜蘭縣庫款集中支付年報表,財政處,宜蘭縣政府,財政處,,4,,,
9,宜蘭縣合法酒製造業者,財政處,宜蘭縣政府,財政處,,13,,,"製造業者名稱,統一編號,工廠所在地,製菸(酒)執照號碼,坐標X,坐標Y"
10,公告宜蘭縣政府公共債務情形,財政處,宜蘭縣政府,財政處,,4,,,年 月 1年以上債務未償餘額 短期債務未償餘額 平均每人負擔債務 自償性債務未償餘額(含非營業特種基金)
11,公告宜蘭縣政府最新債務訊息,財政處,宜蘭縣政府,財政處,,27,,,年 月 1年以上債務未償餘額 短期債務未償餘額 平均每人負擔債務 自償性債務未償餘額(含非營業特種基金)
12,宜蘭縣政府93年至105年歲入出及公共債務明細表,財政處,宜蘭縣政府,財政處,,17,,,年度別 歲入 歲出 負債（依公共債務法規定定義之債務） 預算數 決算數 預算數 決算數 ㄧ年以上公共債務(長債) 未滿一年公共債務(短債) (含未兌現支票)
13,宜蘭縣宜蘭市公所最新公共債務情形表,財政處,宜蘭縣政府,財政處,,14,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)"
14,宜蘭縣羅東鎮公所最新公共債務情形表,財政處,宜蘭縣政府,財政處,,14,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)"
15,宜蘭縣頭城鎮公所最新公共債務情形表,財政處,宜蘭縣政府,財政處,,15,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)"
16,宜蘭縣礁溪鄉公所最新公共債務情形表,財政處,宜蘭縣政府,財政處,,15,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)"
17,宜蘭縣壯圍鄉公所最新公共債務情形表,財政處,宜蘭縣政府,財政處,,16,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)"
18,宜蘭縣員山鄉公所最新公共債務情形表,財政處,宜蘭縣政府,財政處,,15,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)"
19,宜蘭縣冬山鄉公所最新公共債務情形表,財政處,宜蘭縣政府,財政處,,15,,,"項目,	1年以上債務未償餘額,	短期債務未償餘額	, 平均每人負擔債務,	自償性債務未償餘額(含非營業特種基金)"
