編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,新竹縣政府107年第二期公報  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2018/02/14 16:39
2,新竹縣政府稅捐稽徵局職員(含聘僱)學歷性別統計表(截至106.6.30)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/12 15:18
3,新竹縣政府稅捐稽徵局職員(含聘僱)年齡性別統計表(截至106.6.30)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/12 15:18
4,新竹縣政府稅捐稽徵局編制內職員性別統計表(截至106.6.30)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/12 15:18
5,新竹縣政府稅捐稽徵局委員會性別比例一覽表(106年6月)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/12 15:18
6,新竹縣政府稅捐稽徵局主管人員性別統計表(截至106.6.30)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/12 15:18
7,新竹縣102年至106年土地增值稅稅源統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/07 11:41
8,新竹縣消防安全檢查不合格場所清冊（107.01）  ,新竹縣政府消防局,新竹縣政府,新竹縣政府消防局,,,,,,2018/02/06 13:44
9,新竹縣最近5年契稅綜合統計表  ,新湖地政事務所,新竹縣政府,新湖地政事務所,,,,,,2018/02/02 11:44
10,106年第4季契稅查定季報表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/02/02 11:44
11,104年新竹縣地價稅查定統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/19 15:18
12,106年度12月份縣統籌分配稅款累計表  ,財政處,新竹縣政府,財政處,,,,,,2018/01/18 15:57
13,新竹縣政府107年第一期公報  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2018/01/16 13:54
14,105年契稅查定季報表(第1季至第4季)  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/12 14:11
15,105年新竹縣房屋稅查定統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/12 14:11
16,104年新竹縣房屋稅查定統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/12 14:11
17,新竹縣消防安全檢查不合格場所清冊（106.12）  ,新竹縣政府消防局,新竹縣政府,新竹縣政府消防局,,,,,,2018/01/11 19:13
18,105年度印花稅徵收年報表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/05 11:20
19,104年度印花稅徵收年報表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/05 11:20
20,106(7-12)年新竹縣民眾繳稅管道利用情形  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/04 11:42
21,104年新竹縣民眾繳稅管道利用情形  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/04 11:42
22,106年第4季新竹縣政府稅捐稽徵局辦理行政救濟件數統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/03 10:50
23,105年新竹縣政府稅捐稽徵局辦理行政救濟件數統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/03 10:50
24,104年新竹縣政府稅捐稽徵局辦理行政救濟件數統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/03 10:50
25,105年7月至12月辦理國家賠償事件處理情形統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/03 10:50
26,105年1月至6月新竹縣政府稅捐稽徵局辦理國家賠償事件處理情形統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/03 10:49
27,104年7月至12月新竹縣政府稅捐稽徵局辦理國家賠償事件處理情形統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/03 10:49
28,104年1月至6月新竹縣政府稅捐稽徵局辦理國家賠償事件處理情形統計表  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2018/01/03 10:49
