編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
1,臺中市政府地方稅務局105年度7-12月臺中市地方稅繳納方式統計表,臺中市政府地方稅務局,臺中市政府,地方稅務局,,,,,繳納方式、件數、金額
2,臺中市青少年親善門診名單,臺中市政府衛生局,臺中市政府,衛生局,,,,,臺中市青少年親善門診名單
3,臺中市人工生殖機構通過許可名單,臺中市政府衛生局,臺中市政府,衛生局,,,,,臺中市人工生殖機構通過許可名單
4,106年臺中市大腸癌篩檢醫療院所,臺中市政府衛生局,臺中市政府,衛生局,,,,,106年臺中市大腸癌篩檢醫療院所
5,106年臺中市口腔癌篩檢醫療院所,臺中市政府衛生局,臺中市政府,衛生局,,,,,106年臺中市口腔癌篩檢醫療院所
6,106年國小學童齲齒門診名單,臺中市政府衛生局,臺中市政府,衛生局,,,,,106年國小學童齲齒門診名單
7,社區健走步道,臺中市政府衛生局,臺中市政府,衛生局,,,,,"序號行政區名稱距離（公尺）""運動消耗熱量（大卡）註：以60公斤成人為例"""
8,臺中市垃圾衛生掩埋場歷年地下水監測結果,環保局,臺中市政府,環保局,,,,,掩埋場名稱、年月、監測井編號	、pH、水溫、導電度、溶氧、懸浮固體、總溶解固體、氨氮、硝酸氮鹽、亞硝酸鹽氮、硫酸鹽、氯鹽、氟鹽、總酚、總硬度、鉛、鎘、銅、鋅、鎳、砷、汞、鐵、錳、總鉻、總有機碳
9,臺中市各區區公所原住民服務窗口聯絡電話,臺中市政府原住民族事務委員會,臺中市政府,原住民族事務委員會,,,,,臺中市各區區公所原住民服務窗口聯絡電話
10,臺中市原住民族部落大學,臺中市政府原住民族事務委員會,臺中市政府,原住民族事務委員會,,,,,臺中市原住民族部落大學
11,臺中市原住民族部落大學,臺中市政府原住民族事務委員會,臺中市政府,原住民族事務委員會,,,,,臺中市原住民族部落大學
12,臺中市水利局抽水站,臺中市政府水利局‧防災工程科,臺中市政府,水利局,防災工程科,,,,臺中市水利局建置各抽水站位址，以KML格式提供相關資訊
13,臺中市河川水質監測資料,臺中市環境保護局,臺中市政府,臺中市環境保護局,,,,,監測站名、監測站編號、採樣日期、採樣時間、水質紀錄
14,106年度臺中市地方總預算第1次追加(減)預算案,臺中市政府主計處第一科,臺中市政府,主計處,第一科,,,,106年度臺中市地方總預算第1次追加(減)預算案相關預算書表
15,台中市11處主要危險水域，均不得從事任何水域活動，以避免溺水意外發生。,臺中市政府觀光旅遊局,臺中市政府,觀光旅遊局,,,,,除公告主要危險水域範圍外，凡有豎立危險警告牌的水域，均不得從事任何水域活動，以避免溺水意外發生。
16,臺中市非都市土地使用分區筆數面積公告土地現值表,臺中市政府地政局-地價科,臺中市政府,地政局,地價科,,,,使用分區、土地筆數、百分比、面積、公告土地現值總額
17,臺中市腸病毒重症責任醫院名冊,臺中市政府衛生局,臺中市政府,衛生局,,,,,醫療機構、區域、連絡電話、地址
