編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
1,各項稅捐預算數,財政局,高雄市政府,財政局,,2,16,44,各項稅捐預算數,
2,各項稅捐查定數,財政局,高雄市政府,財政局,,2,6,14,各項稅捐查定數,
3,各項稅捐實徵數,財政局,高雄市政府,財政局,,2,3,20,各項稅捐實徵數,
4,各項稅捐退還以前年度歲入款,財政局,高雄市政府,財政局,,2,4,15,各項稅捐退還以前年度歲入款,
5,各項稅捐實徵淨額,財政局,高雄市政府,財政局,,2,4,13,各項稅捐實徵淨額,
6,各項稅捐實徵淨額基比指數,財政局,高雄市政府,財政局,,2,2,10,各項稅捐實徵淨額基比指數,
7,各項稅捐實徵淨額環比指數,財政局,高雄市政府,財政局,,2,2,9,各項稅捐實徵淨額環比指數,
8,家庭教育中心介紹,教育局,高雄市政府,教育局,,1,1,12,家庭教育中心,
9,各項稅收季節變動指數,財政局,高雄市政府,財政局,,2,5,15,各項稅收季節變動指數,
10,稅捐納庫數,財政局,高雄市政府,財政局,,2,2,12,稅捐納庫數,
11,地價稅課稅戶數,財政局,高雄市政府,財政局,,2,3,16,地價稅課稅戶數,
12,100年報案情形統計表,消防局,高雄市政府,消防局,,1,1,13,日期與報案方式、一一九、一一O轉報、親自報案、執勤發現、自動電話、其他,
13,100年高雄1999派工資料,研究發展考核委員會,高雄市政府,研究發展考核委員會,,12,13,16,"FileNo：案號,Cre_Date：反映日期,Save_Date：通報日期,ReplyUnit：權責單位代碼,UnitName：權責單位,Zipcode：行政區域代碼(郵政區號),ZipName：行政區域,Address：維修地點,Informdesc：通報事項,Beforedesc：反映內容,Status：管制狀況代碼,StatusName：管制狀況,Close_Date：結案日期,Afterdesc：處理結果,Memo：備註,Latitude：緯度,Longitude：經度",
14,105年高雄市消費者服務中心受理消費爭議件數一覽表,秘書處,高雄市政府,秘書處,,1,35,194,提供高雄市消費者服務中心105年受理消費爭議件數一覽表,
15,高雄市101年前50大易肇事路口,警察局,高雄市政府,警察局,,1,3,28,"排名,發生路段,A1件數,A1死亡,A1受傷,A2件數,A2受傷,A3件數,件數,死亡,受傷,緯度lat,經度lng,",
16,高雄市101年度A1交通事故地點資料,警察局,高雄市政府,警察局,,1,4,26,"發生時間,發生地點,死亡受傷人數,車種,緯度Lat,經度Lng,資料序號Seq,",
17,高雄市101年度A2交通事故地點資料,警察局,高雄市政府,警察局,,1,4,22,"發生時間,發生地點,死亡受傷人數,車種,",
18,101年高雄1999派工資料,研究發展考核委員會,高雄市政府,研究發展考核委員會,,12,14,12,"FileNo：案號,Cre_Date：反映日期,Save_Date：通報日期,ReplyUnit：權責單位代碼,UnitName：權責單位,Zipcode：行政區域代碼(郵政區號),ZipName：行政區域,Address：維修地點,Informdesc：通報事項,Beforedesc：反映內容,Status：管制狀況代碼,StatusName：管制狀況,Close_Date：結案日期,Afterdesc：處理結果,Memo：備註,Latitude：緯度,Longitude：經度",
19,高雄市102年前50大易肇事路口,警察局,高雄市政府,警察局,,1,4,30,"排名,發生路段,A1件數,A1死亡,A1受傷,A2件數,A2受傷,A3件數,件數,死亡,受傷,緯度lat,經度lng,",
20,高雄市102年度A1交通事故地點資料,警察局,高雄市政府,警察局,,1,6,21,"發生時間,發生地點,死亡受傷人數,車種,緯度Lat,經度Lng,資料序號Seq,",
21,高雄市102年度A2交通事故地點資料,警察局,高雄市政府,警察局,,1,4,22,"發生時間,發生地點,死亡受傷人數,車種,",
22,高雄市102年地價稅累進起點地價及課稅級距表,財政局,高雄市政府,財政局,,1,4,33,提供高雄市102年地價稅累進起點地價及課稅級距表,
23,102年高雄1999派工資料,研究發展考核委員會,高雄市政府,研究發展考核委員會,,12,12,9,"FileNo：案號,Cre_Date：反映日期,Save_Date：通報日期,ReplyUnit：權責單位代碼,UnitName：權責單位,Zipcode：行政區域代碼(郵政區號),ZipName：行政區域,Address：維修地點,Informdesc：通報事項,Beforedesc：反映內容,Status：管制狀況代碼,StatusName：管制狀況,Close_Date：結案日期,Afterdesc：處理結果,Memo：備註,Latitude：緯度,Longitude：經度",
24,高雄市103年前50大易肇事路口,警察局,高雄市政府,警察局,,1,6,38,"排名,發生路段,A1件數,A1死亡,A1受傷,A2件數,A2受傷,A3件數,件數,死亡,受傷,緯度lat,經度lng,",
25,高雄市103年度A1交通事故地點資料,警察局,高雄市政府,警察局,,1,20,61,公布高雄市103年度A1交通事故地點資料,
26,高雄市103年度A2交通事故地點資料,警察局,高雄市政府,警察局,,1,3,28,"發生時間,發生地點,死亡受傷人數,車種,",
27,103年空氣污染物連續自動監測設施(CEMS),環境保護局,高雄市政府,環境保護局,,12,62,35,103年1月空氣污染物連續自動監測設施(CEMS),
28,年度查核成果成績,研究發展考核委員會,高雄市政府,研究發展考核委員會,,3,15,53,序號、工程名稱、主辦單位、契約金額、查核日期、通知方式、評分、工程類別,
29,103年高雄市公有土地筆數統計表,地政局,高雄市政府,地政局,,1,3,37,"區名,公有土地總筆數,國有土地總筆數,省有土地總筆數,高雄市有土地總筆數,高雄市共有土地總面積,其他總筆數,",
30,高雄市商店街區行銷活動補助執行情形,經濟發展局,高雄市政府,經濟發展局,,3,13,42,103年高雄市商店街區行銷活動補助執行情形,
31,103年高雄1999派工資料,研究發展考核委員會,高雄市政府,研究發展考核委員會,,11,12,12,"FileNo：案號,Cre_Date：反映日期,Save_Date：通報日期,ReplyUnit：權責單位代碼,UnitName：權責單位,Zipcode：行政區域代碼(郵政區號),ZipName：行政區域,Address：維修地點,Informdesc：通報事項,Beforedesc：反映內容,Status：管制狀況代碼,StatusName：管制狀況,Close_Date：結案日期,Afterdesc：處理結果,Memo：備註,Latitude：緯度,Longitude：經度",
32,高雄市獎勵會議展覽活動實施辦法申請案件辦理情形,經濟發展局,高雄市政府,經濟發展局,,3,18,45,103年度高雄市獎勵會議展覽活動實施辦法申請案件辦理情形,
33,104年列管計畫進度,研究發展考核委員會,高雄市政府,研究發展考核委員會,,12,34,55,項次、主管機關、計畫名稱、預定進度、實際進度、預定支用數、實際支用數,
34,104年高雄市政府1999話務中心服務量趨勢圖,研究發展考核委員會,高雄市政府,研究發展考核委員會,,12,67,82,"""日期"",""進線總電話量"",""按1轉客服人員數"",""客服人員應答數"",""電話掛斷數"",""電話外撥數"",""電話處理總數"",""服務水準%"",""平均等待時間"",""平均通話時間""",
35,104年高雄市政府1999話務中心派工受理前三名機關統計表,研究發展考核委員會,高雄市政府,研究發展考核委員會,,12,54,46,執行機關、派工件數、受理比率(%),
36,104年高雄市政府1999話務中心客服人員滿意度指標,研究發展考核委員會,高雄市政府,研究發展考核委員會,,12,41,69,"問卷樣本數：654統計起日(來信日期)"",""迄日"",""問題各項滿意度指標%",
37,高雄市104年前50大易肇事路口,警察局,高雄市政府,警察局,,1,26,93,"排名,發生路段,A1件數,A1死亡,A1受傷,A2件數,A2受傷,A3件數,件數,死亡,受傷,緯度lat,經度lng,",
38,104年度支用交通安全預算辦理情形-高市73103運用平面文宣宣導計畫,新聞局,高雄市政府,新聞局,,1,5,26,104年度支用交通安全預算辦理情形-高市73103運用平面文宣宣導計畫,
39,104年度支用道路交通安全預算辦理情形-高市73204運用大眾傳播媒體宣導計畫,新聞局,高雄市政府,新聞局,,1,4,15,104年度支用道路交通安全預算辦理情形-高市73204運用大眾傳播媒體宣導計畫,
40,天然氣瓦斯供氣戶數(104年8月),經濟發展局,高雄市政府,經濟發展局,,1,2,34,天然氣瓦斯供氣戶數(104年8月),
41,高雄市104年度A1交通事故地點資料,警察局,高雄市政府,警察局,,1,13,60,"發生時間,發生地點,死亡受傷人數,車種,",
42,高雄市104年度A2交通事故地點資料,警察局,高雄市政府,警察局,,1,12,72,"發生時間,發生地點,死亡受傷人數,車種,",
43,高雄市104年度取締未依規定兩段式左轉前十大路口,警察局,高雄市政府,警察局,,1,4,29,"路口,取締件數,",
44,大寮區基本資料表104年,大寮區公所,高雄市政府,大寮區公所,,11,67,33,104年1月大寮區基本資料表,
45,104年高雄市解徵地政規費,地政局,高雄市政府,地政局,,7,32,35,"規費名稱,徵收數,解庫數,備註",
46,104年空氣污染物連續自動監測設施(CEMS),環境保護局,高雄市政府,環境保護局,,12,67,66,104年1月空氣污染物連續自動監測設施(CEMS),
47,104年消保官查核行程一覽表,秘書處,高雄市政府,秘書處,,1,7,28,104年消保官查核行程一覽表,
48,高雄市104年登革熱緊急防治噴藥資料,衛生局,高雄市政府,衛生局,,12,33,68,"場次,執行日期,執行區別,執行里別",
49,104年公文時效統計,研究發展考核委員會,高雄市政府,研究發展考核委員會,,12,35,55,公文性質、應辦件數、辦結件數、辦結率%,
50,高雄市104年度取締酒後駕車前十大路口,警察局,高雄市政府,警察局,,1,5,27,"路口,取締件數,",
51,104年高雄市不同權屬土地筆數統計,地政局,高雄市政府,地政局,,1,2,20,"區名/項目,公有土地總筆數,國有土地總筆數,省有土地總筆數,高雄市有土地總筆數,高雄市共有土地總面積	其他總筆數",
52,104年消保官教育宣導彙整表,秘書處,高雄市政府,秘書處,,1,4,31,104年消保官教育宣導彙整表,
53,高雄市104年火災公務統計報表,消防局,高雄市政府,消防局,,12,70,51,高雄市104年1月火災公務統計報表,
54,104年高雄市不同權屬土地面積統計,地政局,高雄市政府,地政局,,1,2,24,"區名/項目,全部土地總面積,公有土地總面積,私有土地總面積,公私共有土地總面積,其他總面積",
55,104年高雄市公有土地面積統計,地政局,高雄市政府,地政局,,1,4,28,"區名/項目,公有土地總面積,國有土地總面積,省有土地總面積,高雄市有土地總面積,高雄市共有土地總面積,其他總面積",
56,104年高雄市公有土地筆數統計,地政局,高雄市政府,地政局,,1,3,26,"區名/項目,公有土地總筆數,國有土地總筆數,省有土地總筆數,高雄市有土地總筆數,高雄市共有土地總面積,其他總筆數,",
57,104年高雄市土地及建物登記管理,地政局,高雄市政府,地政局,,7,39,35,高雄市土地及建物登記管理(104年6月),
58,104年高雄市土地段名代碼表,地政局,高雄市政府,地政局,,2,10,36,"縣市別,行政區名,地段名,地段代碼,",
59,104年高雄市土地公告現值,地政局,高雄市政府,地政局,,1,5,58,"縣市,行政區,地段名,地號(母號+子號),公告現值,",
60,大社區104年度執行仁大工業區敦親睦鄰回饋金明細表,大社區公所,高雄市政府,大社區公所,,1,3,15,項目、收入、支出、附表等,
61,104年高雄1999派工資料,研究發展考核委員會,高雄市政府,研究發展考核委員會,,12,20,24,"FileNo：案號,Cre_Date：反映日期,Save_Date：通報日期,ReplyUnit：權責單位代碼,UnitName：權責單位,Zipcode：行政區域代碼(郵政區號),ZipName：行政區域,Address：維修地點,Informdesc：通報事項,Beforedesc：反映內容,Status：管制狀況代碼,StatusName：管制狀況,Close_Date：結案日期,Afterdesc：處理結果,Memo：備註,Lat：緯度,Lng：經度",
62,自行研究報告(辦理至104年度),研究發展考核委員會,高雄市政府,研究發展考核委員會,,2,10,55,"No,年度,獲獎等第,研究計畫,連結網址,摘要,連結網址2,委託機關,類別,",
63,104年高雄市不動產拍賣統計,地政局,高雄市政府,地政局,,7,24,37,"區名,件數,土地筆數,土地面積(平方公尺),建物棟(戶)數,建物面積(平方公尺),",
64,104年高雄市不動產買賣統計,地政局,高雄市政府,地政局,,7,69,73,"區名,件數,土地筆數,土地面積(平方公尺),建物棟(戶)數,建物面積(平方公尺),",
65,104年高雄市不動產抵押權設定統計,地政局,高雄市政府,地政局,,6,25,22,"區名,件數,土地筆數,土地面積(平方公尺),建物棟(戶)數,建物面積(平方公尺),",
66,104年高雄市消費者服務中心受理消費爭議件數一覽表,秘書處,高雄市政府,秘書處,,1,36,152,高雄市消費者服務中心104年受理消費爭議件數一覽表,
67,104年高雄市外國人地權登記管理,地政局,高雄市政府,地政局,,7,23,34,高雄市外國人地權登記管理(104年6月),
68,高雄市104年度取締闖紅燈前十大路口,警察局,高雄市政府,警察局,,1,5,39,"路口,取締件數,",
69,高雄市104年度發生交通事故前十大路口,警察局,高雄市政府,警察局,,1,8,37,"排名,發生路口,交通事故件數,死亡人數,受傷人數,",
70,高雄市104年度取締併排停車前十大路段,警察局,高雄市政府,警察局,,1,4,24,高雄市104年度取締併排停車前十大路段,
71,高雄市104年度取締超速前十大路段,警察局,高雄市政府,警察局,,1,7,34,"違規地點,取締件數,",
72,高雄市104年度發生交通事故前十大路段,警察局,高雄市政府,警察局,,1,10,52,"排名,交通事故發生路段,件數,死亡人數,受傷人數,",
73,105年度高雄市徵解地政規費,地政局,高雄市政府,地政局,,12,68,56,"規費名稱,徵收數,解庫數,備註",
74,高雄市勞工月刊(105年起),勞工局,高雄市政府,勞工局,,15,42,22,105高雄市勞工月刊1月號,
75,105年高雄市公地撥用統計表,地政局,高雄市政府,地政局,,1,18,38,公地撥用統計,
76,高雄市105年度辦理公共設施用地徵收工程一覽表,地政局,高雄市政府,地政局,,1,23,46,編號、用地單位、工程名稱、行政區別、公告期限、發價日期、備註,
77,105年12月現有員額表,大寮區公所,高雄市政府,大寮區公所,,1,1,15,105年12月現有員額表,
78,105年高雄市政府1999話務中心話務中心服務量趨勢圖,研究發展考核委員會,高雄市政府,研究發展考核委員會,,16,84,83,說明：(A)進線總電話數=IVR總進線數(B)按1轉客服人員數=IVR總進線後，按1轉接專人數(C)客服人員應答數=(B)按1轉客服人員數-(D)電話掛斷數(D)電話掛斷數=(B)按1轉客服人員數-(C)客服人員應答數(E)電話外撥數=話務人員績效日報表之電話外撥數(F)電話處理總數=(A)進線總電話數+(E)電話外撥數(G)服務水準%=20秒內專人接聽數/(C)客服人員應答數*100(H)平均等待時間=進線電話總等待時間/(B)按1轉客服人員數(I)平均通話時間=進線電話總通話時間/(C)客服人員應答數,
79,杉林區公所106年提升服務品質執行計畫,杉林區公所,高雄市政府,杉林區公所,,1,5,16,高雄市杉林區公所106年度提升服務執行計畫,
80,消防局105年火災出動人員、車輛、船艇、直升機月報表,消防局,高雄市政府,消防局,,8,42,60,"行政區,受理火災件數,消防人員,義消人員,其他1,救出人數,直線消防車,屈折消防車,化學消防車,水箱消防車,水庫消防車,泡沫消防車,幫浦消防車,超高壓消防車,救助器材車,排煙車,照明車,空氣壓縮車,救災指揮車,水陸兩用車,災情勘查車,化災處理車,火災現場勘驗車,消防警備車,消防救災越野車,消防救災機車,緊急修護車,救護車一般型,救護車加護型,救生艇,直升機,其他2,",
81,高雄市105年度A1交通事故地點資料,警察局,高雄市政府,警察局,,1,28,90,"高雄市105年度A1交通事故發生時間,發生地點,死亡受傷人數,車種",
82,高雄市105年度A2交通事故地點資料,警察局,高雄市政府,警察局,,1,39,73,"公布高雄市105年度A2交通事故發生時間,發生地點,死亡受傷人數,車種",
83,105年高雄市辦理土地徵收情形統計,地政局,高雄市政府,地政局,,1,30,54,高雄市辦理土地徵收情形統計,
84,消防局105年歲出預算表,消防局,高雄市政府,消防局,,1,9,38,"科目名稱,本年度預算數,上年度預算數,前年度決算數,本年度與上年度比較",
85,消防局105年歲入預算表,消防局,高雄市政府,消防局,,1,4,37,"科目名稱,本年度預算數,上年度預算數,前年度決算數,本年度與上年度比較,",
86,高雄市105年度取締闖紅燈前十大路口,警察局,高雄市政府,警察局,,1,6,45,排名，違規地點,
87,高雄市105年度取締未依規定兩段式左轉前十大路口,警察局,高雄市政府,警察局,,1,4,38,排名，違規地點,
88,大寮區基本資料表105年,大寮區公所,高雄市政府,大寮區公所,,24,53,53,105年1月份大寮區基本資料,
89,105年空氣污染物連續自動監測設施(CEMS),環境保護局,高雄市政府,環境保護局,,13,84,89,"工廠管制編號,煙囪,監測項目,時間,測值,狀態碼,",
90,105年消保官查核行程一覽表,秘書處,高雄市政府,秘書處,,1,17,38,提供105年消保官查核行程一覽表,
91,高雄市勞工大學105成果表,勞工局,高雄市政府,勞工局,,1,11,25,高雄市勞工大學105成果表,
92,105年度高雄市大寮區役男出境及逾期不歸人數統計表,大寮區公所,高雄市政府,大寮區公所,,1,7,21,105年度高雄市大寮區役男出境及逾期不歸人數統計表,
93,105年度高雄市大寮區兵役列管人數統計表,大寮區公所,高雄市政府,大寮區公所,,1,5,18,105年度高雄市大寮區兵役列管人數統計,
94,105年高雄市完成設立備查之不動產經紀業,地政局,高雄市政府,地政局,,2,10,34,截至105年11月底，於高雄市完成設立備查之不動產經紀業,
95,高雄市105年度取締酒駕前十大路口,警察局,高雄市政府,警察局,,1,8,42,排名，違規地點,
96,105年高雄市不同權屬土地筆數統計,地政局,高雄市政府,地政局,,1,2,29,"區名/項目,公有土地總筆數,國有土地總筆數,省有土地總筆數,高雄市有土地總筆數,高雄市共有土地總面積	其他總筆數",
97,105年消保官教育宣導彙整表,秘書處,高雄市政府,秘書處,,1,15,33,提供105年消保官教育宣導彙整表,
98,105年度全國公告之具高再犯危險之性侵害加害人人數統計總表,警察局,高雄市政府,警察局,,1,3,16,人數,
99,高雄市大社區公所105年度決算表,大社區公所,高雄市政府,大社區公所,,1,2,13,科目、預算數,
100,105年「高雄客家伴手禮」商家產品聯絡資訊一覽表,客家事務委員會,高雄市政府,客家事務委員會,,1,7,46,序號	商家名稱	產品名稱	電話	地址,
101,高雄市「清淨家園社區營造計畫」實施計畫,都市發展局,高雄市政府,都市發展局,,1,87,188,提供106年高雄市「清淨家園社區營造計畫」實施計畫,
102,105年高雄市不同權屬土地面積統計,地政局,高雄市政府,地政局,,1,6,55,"區名/項目,全部土地總面積,公有土地總面積,私有土地總面積,公私共有土地總面積,其他總面積",
