編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
1,南投縣政府消防局檢修申報執行統計,消防局,南投縣政府,消防局,,1,,,
2,102年金融財稅統計年報,主計處,南投縣政府,主計處,,12,,,
3,103年度人事統計要覽,人事處,南投縣政府,人事處,,4,,,
4,103年金融財稅統計年報,主計處,南投縣政府,主計處,,12,,,
5,105年節食品抽驗結果,衛生局,南投縣政府,衛生局,,2,,,
6,南投縣稅捐未徵數情形,稅務局,南投縣政府,稅務局,,1,,,
7,南投縣政府警察局警光山莊,警察局,南投縣政府,警察局,,1,,,
8,南投縣政府稅務局歲入來源別預算表,稅務局,南投縣政府,稅務局,,1,,,
9,南投縣道路交通事故資料統計表,警察局,南投縣政府,警察局,,1,,,
10,105年南投縣政府財產量值總目錄,財政處,南投縣政府,財政處,,1,,,
11,臺灣銀行股份有限公司南投分公司擬轉委託代理縣分庫暨代收稅款處之金融機構一覽表    (106.3.17版),財政處,南投縣政府,財政處,,1,,,
12,105年南投縣政府縣庫支付年報表,財政處,南投縣政府,財政處,,1,,,
13,南投縣政府消防局消防安全列管數量統計,消防局,南投縣政府,消防局,,1,,,
14,南投縣合法保全公司,警察局,南投縣政府,警察局,,1,,,
15,南投縣使用牌照稅徵績,稅務局,南投縣政府,稅務局,,1,,,
16,南投縣政府稅務局歲入來源別決算表,稅務局,南投縣政府,稅務局,,1,,,
17,南投縣房屋地段等級評定表,稅務局,南投縣政府,稅務局,,1,,,
18,南投縣政府消防局防焰制度執行情形,消防局,南投縣政府,消防局,,1,,,
19,南投縣免費wifi無線網路熱點,計畫處,南投縣政府,計畫處,,1,,,
20,南投縣電梯設備工程費概算表,稅務局,南投縣政府,稅務局,,1,,,
21,南投縣未變性酒精販賣業者查詢,財政處,南投縣政府,財政處,,2,,,
22,南投縣政府專戶存款支票兌付地點,財政處,南投縣政府,財政處,,1,,,
23,106年南投縣流感疫苗接種合約院所一覽表,衛生局,南投縣政府,衛生局,,1,,,
24,南投縣政府「縣民時間」辦理時間表,計畫處,南投縣政府,計畫處,,2,,,
25,105-106年度南投縣政府及所轄鄉鎮市公所最新債務訊息,財政處,南投縣政府,財政處,,13,,,
26,南投縣政府稅務局歲出機關別預算表,稅務局,南投縣政府,稅務局,,1,,,
27,南投縣政府消防局燃氣熱水器承裝業及其技術士合格名冊,消防局,南投縣政府,消防局,,1,,,
28,南投縣房屋標準單價表,稅務局,南投縣政府,稅務局,,2,,,
29,104年金融財稅統計年報,主計處,南投縣政府,主計處,,12,,,
30,南投縣使用牌照稅稅源,稅務局,南投縣政府,稅務局,,1,,,
31,南投縣政府消防局為民服務統計,消防局,南投縣政府,消防局,,1,,,
32,南投縣失蹤人口統計,警察局,南投縣政府,警察局,,1,,,
33,南投縣房屋稅徵績,稅務局,南投縣政府,稅務局,,1,,,
34,南投縣防空避難設備統計表,警察局,南投縣政府,警察局,,1,,,
