編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
1,澎湖縣湖西鄉休閒趣處,澎湖縣湖西鄉公所/澎湖縣湖西鄉公所,澎湖縣,湖西鄉公所,,,,,澎湖縣 湖西好鄉 村村好讚
2,澎湖縣湖西鄉災防訊息,澎湖縣湖西鄉公所/澎湖縣湖西鄉公所,澎湖縣,湖西鄉公所,,,,,澎湖縣湖西鄉 避難收容場所 防救災據點
3,澎湖縣縣有財產委託經營案件明細表,財政處/公有財產科,澎湖縣,財政處,公有財產科,8,,,委託機關、委託經營名稱、委託經營期間、訂約權利金、經營權利金、備註
4,澎湖縣縣有財產總目錄(近5年),財政處/公有財產科,澎湖縣,財政處,公有財產科,46,,,分類項目、筆(棟)數、面積、金額.年度
5,澎湖縣白沙鄉人口年齡層統計,澎湖縣白沙鄉戶政事務所/澎湖縣白沙鄉戶政事務所,澎湖縣,白沙鄉戶政事務所,,13,,,０~４歲、５～９歲、１０～１４歲、１５～１９歲、２０～２４歲、２５～２９歲、３０～３４歲、３５～３９歲、４０～４４歲、４５～４９歲、５０～５４歲、５５～５９歲、６０～６４歲、６５～６９歲、７０～７４歲、７５～７９歲、８０～８４歲、８５～８９歲、９０～９４歲、９５歲～９９歲、１００歲以上
6,澎湖縣白沙鄉戶籍動態統計,澎湖縣白沙鄉戶政事務所/澎湖縣白沙鄉戶政事務所,澎湖縣,白沙鄉戶政事務所,,187,,,戶數、人口數、出生、死亡、遷入、遷出、結婚、離婚
7,澎湖縣七美鄉人口年齡層統計,澎湖縣七美鄉戶政事務所/澎湖縣七美鄉戶政事務所,澎湖縣,七美鄉戶政事務所,,18,,,０歲~４歲、５~９歲、１０歲~１４歲、１５歲~１９歲、２０~２４歲、２５~２９歲、３０~３４歲、３５~３９歲、４０~４４歲、４５~４９歲、５０~５４歲、５５~５９歲、６０~６４歲、６５~６９歲、７０~７４歲、７５~７９歲、８０~８４歲、８５~８９歲、９０~９４歲、９５~９９歲、１００歲以上
8,澎湖縣七美鄉戶籍動態統計,澎湖縣七美鄉戶政事務所/澎湖縣七美鄉戶政事務所,澎湖縣,七美鄉戶政事務所,,78,,,戶數、人口數、遷入人數、遷出人數、嬰兒出生總數、死亡人數、結婚對數、離婚對數
9,澎湖縣馬公市颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府消防局/災害搶救科,澎湖縣,消防局,災害搶救科,50,,,澎湖縣馬公市颱(洪)災害、地震災害避難收容場所一覽表
10,澎湖縣湖西鄉颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府消防局/災害搶救科,澎湖縣,消防局,災害搶救科,26,,,澎湖縣湖西鄉颱(洪)災害、地震災害避難收容場所一覽表
11,澎湖縣白沙鄉颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府消防局/災害搶救科,澎湖縣,消防局,災害搶救科,,,,澎湖縣白沙鄉颱(洪)災害、地震災害避難收容場所一覽表
12,澎湖縣西嶼鄉颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府消防局/災害搶救科,澎湖縣,消防局,災害搶救科,,,,澎湖縣西嶼鄉颱(洪)災害、地震災害避難收容場所一覽表
13,澎湖縣望安鄉颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府消防局/災害搶救科,澎湖縣,消防局,災害搶救科,,,,澎湖縣望安鄉颱(洪)災害、地震災害避難收容場所一覽表
14,澎湖縣七美鄉颱(洪)災害、地震災害避難收容場所一覽表,澎湖縣政府消防局/災害搶救科,澎湖縣,消防局,災害搶救科,12,,,澎湖縣七美鄉颱(洪)災害、地震災害避難收容場所一覽表
15,澎湖縣馬公市海嘯災害臨時避難處一覽表,澎湖縣政府消防局/災害搶救科,澎湖縣,消防局,災害搶救科,,,,澎湖縣馬公市海嘯災害臨時避難處一覽表
16,澎湖縣湖西鄉海嘯災害臨時避難處一覽表,澎湖縣政府消防局/災害搶救科,澎湖縣,消防局,災害搶救科,,,,澎湖縣湖西鄉海嘯災害臨時避難處一覽表
17,澎湖縣白沙鄉海嘯災害臨時避難處一覽表,澎湖縣政府消防局/災害搶救科,澎湖縣,消防局,災害搶救科,,,,澎湖縣白沙鄉海嘯災害臨時避難處一覽表
18,澎湖縣西嶼鄉海嘯災害臨時避難處一覽表,澎湖縣政府消防局/災害搶救科,澎湖縣,消防局,災害搶救科,,,,澎湖縣西嶼鄉海嘯災害臨時避難處一覽表
19,澎湖縣望安鄉海嘯災害臨時避難處一覽表,澎湖縣政府消防局/災害搶救科,澎湖縣,消防局,災害搶救科,,,,澎湖縣望安鄉海嘯災害臨時避難處一覽表
20,澎湖縣七美鄉海嘯災害臨時避難處一覽表,澎湖縣政府消防局/災害搶救科,澎湖縣,消防局,災害搶救科,,,,澎湖縣七美鄉海嘯災害臨時避難處一覽表
21,澎湖縣出動消防人車次艇統計表,澎湖縣政府消防局/救災救護指揮中心,澎湖縣,消防局,救災救護指揮中心,13,,,月份、受理案件數、出動消防人力、出動消防車及救護車車次
22,澎湖縣119受理為民服務及其他案件件數統計表,澎湖縣政府消防局/救災救護指揮中心,澎湖縣,消防局,救災救護指揮中心,13,,,月份、捉蛇案件數、捕蜂案件數、其他為民服務案件數、每月為民服務案件數總計
23,澎湖縣103年漁業從業人數,澎湖縣政府農漁局/漁政管理科,澎湖縣,農漁局,漁政管理科,61,,,所屬鄉市、漁業種類、經營模式、人數
24,澎湖縣政府農漁局105年度『澎湖優鮮』標章推廣講習課程人數統計表,澎湖縣政府農漁局/漁業輔導科,澎湖縣,農漁局,漁業輔導科,15,,,上課日期、講師、養殖戶、各鄉市公所、一般民眾、農漁局、合計
25,澎湖縣政府農漁局105年度『澎湖縣受保護樹木』(珍貴老樹)清冊,澎湖縣政府農漁局/生態保育科,澎湖縣,農漁局,生態保育科,65,,,編號、相關建築物或管理人姓名、樹種、樹齡(年)、樹直徑(公尺)、樹圍(公尺)、所在路段地址
26,澎湖縣醫療機構,澎湖縣政府衛生局/醫政科,澎湖縣,衛生局,醫政科,101,,,序號、特約醫療機構代號、特約醫療機構、負責醫師、地址、電話、科別
27,澎湖縣健保藥局,澎湖縣政府衛生局/食品藥物管理科,澎湖縣,衛生局,食品藥物管理科,16,,,編號、藥商名稱、電話、地址、負責人、備註
28,澎湖縣西藥房,澎湖縣政府衛生局/食品藥物管理科,澎湖縣,衛生局,食品藥物管理科,11,,,編號、藥商名稱、電話、地址、負責人、備註
29,澎湖縣中藥房,澎湖縣政府衛生局/食品藥物管理科,澎湖縣,衛生局,食品藥物管理科,20,,,編號、藥商名稱、電話、地址、負責人、備註
30,澎湖縣通過餐飲衛生評核名單,澎湖縣政府衛生局/食品藥物管理科,澎湖縣,衛生局,食品藥物管理科,,,,編號 店名 地址 等級
31,澎湖縣母乳哺集乳室,澎湖縣政府衛生局/保健科,澎湖縣,衛生局,保健科,96,,,場所名稱、縣市、地址、電話、開放時間、開放時段、注意事項、設置依據
32,澎湖縣電動機車充電站,澎湖縣政府環境保護局/公害防治科,澎湖縣,環境保護局,公害防治科,28,,,鄉市別、澎湖縣能源補充設施設置地點、數量、地號
33,澎湖縣綠色商店,澎湖縣政府環境保護局/廢棄物規劃科,澎湖縣,環境保護局,廢棄物規劃科,41,,,澎湖縣綠色商店全名、商店地址、連絡電話
34,澎湖縣公共圖書館年度借閱統計資料,澎湖縣政府文化局/圖書資訊科,澎湖縣,文化局,圖書資訊科,13,,,澎湖縣公共圖書館年度借閱統計及分析資料
