編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
1,基隆市最近5年地價稅稅源統計表,基隆市稅務局,基隆市政府,稅務局,,,98,1691,表一
2,基隆市最近五年契稅綜合統計表,基隆市稅務局,基隆市政府,稅務局,,,56,545,、表四
3,基隆伴手禮,基隆市政府產業發展處,基隆市政府,產業發展處,,,388,2468,品名、公司、地址、電話
4,基隆十大食尚餐廳,基隆市政府產業發展處,基隆市政府,產業發展處,,,369,2658,店名、電話、地址、推薦料理
5,基隆優質餐廳,基隆市政府產業發展處,基隆市政府,產業發展處,,,266,2369,店名、電話、地址、推薦料理
8,基隆市戶外禁菸場所,基隆市衛生局,基隆市政府,衛生局,,,,,"公告日期,公告機關,菸害防制法,禁菸範圍說明,公告地點,場所管理單位"
9,基隆市優良衛生店家,基隆市衛生局,基隆市政府,衛生局,,,97,1010,年度、編碼、優良廠商項目、廠商名稱、營業地址、評核等級
10,基隆市旅館商業同業公會會員名冊,基隆市衛生局,基隆市政府,衛生局,,,112,1602,會員名稱、地址、電話
11,基隆市醫療院所名冊,基隆市衛生局,基隆市政府,衛生局,,,139,1494,醫療院所名稱、院所性質、地址、電話
12,基隆市公告之室外禁菸場所,基隆市衛生局,基隆市政府,衛生局,,,79,1464,序、公告日期、公告機關、菸害防制法、禁菸範圍說明、公告地點、場所管理單位、所在地處(概註)
17,基隆市政府公共債務訊息,基隆市政府財政處,基隆市政府,財政處,,,119,1143,截至106年11月底止，本府公共債務情形如下：
18,基隆市政府最新公共債務訊息,基隆市政府財政處,基隆市政府,財政處,,,151,1571,截至106年11月底止，本府公共債務情形如下：
20,基隆市iTaiwan無線網路熱點,基隆市政府研考處,基隆市政府,研考處,,,288,1443,熱點名稱、區域、地址
21,基隆市四大癌症篩檢醫療院所,基隆市衛生局,基隆市政府,衛生局,,,31,434,區域、機構名稱、洽詢電話、可提供之檢查項目
22,基隆市母嬰親善醫療院所,基隆市衛生局,基隆市政府,衛生局,,,27,492,院別、機構名稱、地址、電話
23,基隆市兒童發展篩檢機構,基隆市衛生局,基隆市政府,衛生局,,,30,423,醫事機構名稱、地址、電話
24,基隆市長照居家護理復健喘息合約機構,基隆市衛生局,基隆市政府,衛生局,,,33,608,服務別、機構名稱
25,基隆市固定污染源空氣污染物監測數據-日報,基隆市環境保護局,基隆市政府,環境保護局,,,115,849,Cno:中文廠名 DP_NO:煙囪編號 ITEM:中文測項 M_year:YYYY M_month:MM M_day:DD M_time:HH M_Val:測值 Code2:中文狀態
26,基隆市哺集乳室資料庫,基隆市衛生局,基隆市政府,衛生局,,,31,511,場所、機構、場所名稱、地址、電話、開放時間、注意事項
27,基隆市固定污染源空氣污染物監測數據-即時,基隆市環境保護局,基隆市政府,環境保護局,,,69,747,Cno:中文廠名 DP_NO:煙囪編號 ITEM:中文測項 M_year:YYYY M_month:MM M_day:DD M_time:HHMM M_Val:測值 Code2:中文狀態
30,每月基隆市道路交通事故月報表,基隆市警察局,基隆市政府,警察局,,,,,
31,基隆市-學前教育,基隆市政府教育處,基隆市政府,教育處,,,182,832,編號、行政區、園所名稱、、　　可招收人數、連絡電話
