編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
8,苗栗縣苑裡鎮公所104年公共債務揭露,苗栗縣苑裡鎮公所,苗栗縣政府,苑裡鎮公所,,,,,截至104年8月底止，本所公共債務情形如下：一、1年以上債務未償餘額為0元。二、短期債務未償餘額為0元。三、平均每人負擔債務0元。四、自償性債務未償餘額為0元(含非營業特種基金)
10,苗栗縣政府暨所轄鄉鎮市公所公共債務訊息,苗栗縣政府,苗栗縣政府,,,,197,1302,苗栗縣105年1-9月份公共債務情形
29,苗栗縣水域遊憩活動安全資訊,苗栗縣政府消防局,苗栗縣政府,消防局,,,50,235,本縣105年轄內曾發生溺水事故調查檢核表(易)
30,苗栗縣公費流感抗病毒藥劑合約醫療院所,苗栗縣政府衛生局,苗栗縣政府,衛生局,,,72,279,十碼章、醫院名稱、縣市別、行政區、郵遞區號、地址、連絡電話、座標緯度、座標經度、備註、建立日期、更新日期、
33,105年度接受捐贈財物明細表,苗栗縣政府消防局,苗栗縣政府,消防局,,,34,185,本局105年度接受民間個人或團體捐贈財物資料
38,AED分布資料,苗栗縣政府衛生局,苗栗縣政府,衛生局,,,,,MCB苗栗縣政府衛生局ADD地址
41,苗栗縣政府暨所轄鄉鎮市公所公共債務,苗栗縣政府,苗栗縣政府,,,,3,51,106年1-5月公共債務情形
42,苗栗縣政府暨所屬鄉鎮市公所106年1至6月公共債務情形,苗栗縣政府,苗栗縣政府,,,,2,37,苗栗縣政府暨所屬鄉鎮市公所106年1至6月公共債務情形
43,苗栗縣地標位置資料,苗栗縣政府,苗栗縣政府,,,,21,153,MARKNAME(地標名稱)、CLASS1(地標大類)、CLASS2(地標小類)、TOWN(行政區)、X_COOR(TWD97 X坐標)、Y_COOR(TWD97 Y坐標)、TOWN_ID(行政區代碼)
46,苗栗縣政府暨所屬鄉鎮市公所106年1至7月公共債務情形,苗栗縣政府,苗栗縣政府,,,,3,45,苗栗縣政府暨所屬鄉鎮市公所106年1至7月公共債務情形
49,苗栗縣政府暨苗栗縣所轄鄉鎮市公所106年1月至8月公共債務情形,苗栗縣政府,苗栗縣政府,,,,1,12,苗栗縣政府公共債務情形、
50,106年苗栗縣流感合約醫療院所,苗栗縣政府衛生局,苗栗縣政府,衛生局,,,6,58,十碼章、醫院名稱、縣市別、行政區、郵遞區號、地址、連絡電話、座標緯度、座標經度、備註
54,苗栗縣政府暨苗栗縣所轄鄉鎮市公所106年1月至9月公共債務情形,苗栗縣政府,苗栗縣政府,,,,1,15,苗栗縣政府公共債務情形、
56,105年地價稅稅源統計表,苗栗縣政府稅務局,苗栗縣政府,稅務局,,,,,地價稅　稅源統計表、
57,105年土增稅稅源統計表,苗栗縣政府稅務局,苗栗縣政府,稅務局,,,,,土地增值稅稅源統計表、
58,苗栗縣政府暨苗栗縣所轄鄉鎮市公所106年1月至10月公共債務情形,苗栗縣政府,苗栗縣政府,,,,1,27,苗栗縣政府公共債務情形、
61,苗栗縣立體育場各場館收費標準,苗栗縣立體育場,苗栗縣立體育場,,,,2,32,
62,苗栗縣立網球場管理要點,苗栗縣立體育場,苗栗縣立體育場,,,,2,25,
63,苗栗縣立體育場田徑場自治規則,苗栗縣立體育場,苗栗縣立體育場,,,,0,21,
64,苗栗縣立體育場代管棒壘球場管理要點,苗栗縣立體育場,苗栗縣立體育場,,,,0,19,
65,苗栗縣文山國小分校﹝巨蛋﹞體育館管理要點,苗栗縣立體育場,苗栗縣立體育場,,,,1,30,
66, 苗栗縣立體育館管理要點,苗栗縣立體育場,苗栗縣立體育場,,,,1,23,
67,苗栗縣合法動物醫院名冊,苗栗縣動物防疫所,苗栗縣政府,動物防疫所,,,5,32,機構名稱、字號、負責獸醫、機構電話、機構地址
68,苗栗縣特定寵物業者名冊,苗栗縣動物防疫所,苗栗縣政府,動物防疫所,,,2,20,
69,苗栗縣動物用藥品販賣業許可證名冊,苗栗縣動物防疫所,苗栗縣政府,動物防疫所,,,2,23,
70,苗栗縣各鄉鎮市造林面積統計表,苗栗縣政府,苗栗縣政府,,,,4,36,
71,106各校基本資料檔全,苗栗縣政府,苗栗縣政府,,,,3,49,
72,消防局各單位通訊錄,苗栗縣政府消防局,苗栗縣政府,消防局,,,8,86,單位、地址、電話、X座標、Y座標
73,熱水器承裝業者及技術士名冊,苗栗縣政府消防局,苗栗縣政府,消防局,,,1,23,
74,苗栗縣最近5年地價稅稅源統計表(100年至105年),苗栗縣政府稅務局,苗栗縣政府,稅務局,,,0,17,
75,苗栗縣105年地價稅徵績(徵期結束),苗栗縣政府稅務局,苗栗縣政府,稅務局,,,0,12,
76,苗栗縣105年地價稅徵績(滯納期滿),苗栗縣政府稅務局,苗栗縣政府,稅務局,,,0,11,
77,苗栗縣最近5年房屋稅綜合統計表(102年至106年),苗栗縣政府稅務局,苗栗縣政府,稅務局,,,0,13,
78,苗栗縣最近5年契稅綜合統計表(101年至105年),苗栗縣政府稅務局,苗栗縣政府,稅務局,,,0,14,
79,苗栗縣100年娛樂稅稅源統計表,苗栗縣政府稅務局,苗栗縣政府,稅務局,,,0,13,
