編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
4,國立彰化師範大學校務基金104年度法定預算,國立彰化師範大學,國立彰化師範大學,,,,,,國立彰化師範大學校務基金104年度法定預算
7,國立彰化師範大學校務基金103年度決算,國立彰化師範大學,國立彰化師範大學,,,,,,國立彰化師範大學校務基金103年度決算
8,國立彰化師範大學校務基金104年1月會計報告,國立彰化師範大學,國立彰化師範大學,,,,,,國立彰化師範大學校務基金104年1月會計報告
9,國立彰化師範大學校務基金104年2月會計報告,國立彰化師範大學,國立彰化師範大學,,,,,,國立彰化師範大學校務基金104年2月會計報告
10,國立彰化師範大學校務基金104年3月會計報告,國立彰化師範大學,國立彰化師範大學,,,,,,國立彰化師範大學校務基金104年3月會計報告
11,國立彰化師範大學校務基金104年4月會計報告,國立彰化師範大學,國立彰化師範大學,,,,,,國立彰化師範大學校務基金104年4月會計報告
12,國立彰化師範大學校務基金104年5月會計報告,國立彰化師範大學,國立彰化師範大學,,,,,,國立彰化師範大學校務基金104年5月會計報告
13,國立彰化師範大學校務基金104年6月會計報告,國立彰化師範大學,國立彰化師範大學,,,,,,國立彰化師範大學校務基金104年6月會計報告
15,國立彰化師範大學校務基金104年7月會計報告,國立彰化師範大學,國立彰化師範大學,,,,,,國立彰化師範大學校務基金104年7月會計報告
17,國立彰化師範大學校務基金104年8月會計報告,國立彰化師範大學,國立彰化師範大學,,,,,,國立彰化師範大學校務基金104年8月會計報告
19,國立彰化師範大學校務基金104年9月會計報告,國立彰化師範大學,國立彰化師範大學,,,,,,國立彰化師範大學校務基金104年9月會計報告
20,國立彰化師範大學校務基金104年10月會計報告,國立彰化師範大學,國立彰化師範大學,,,,,,國立彰化師範大學校務基金104年10月會計報告
21,國立彰化師範大學校務基金104年11月會計報告,國立彰化師範大學,國立彰化師範大學,,,,,,國立彰化師範大學校務基金104年11月會計報告
23,彰化縣警察局所屬各辦公處所核心及一般設施配置表,彰化縣警察局,彰化縣政府,警察局,,,35,482,單位、地址、電話、經緯度、斜    坡    道、(輪椅)    輔具服務、身心障礙專用盥洗室、專用電梯或停車位、哺集乳室、申辦書表和填寫範例、飲水機、電腦（網路）、免費無線上網、停車位
24,公務出國報告,彰化縣政府計畫處,彰化縣政府,計畫處,,,35,518,編號、計畫名稱、計畫主辦機關、出國類別、前往地區、出國期間、報告日期
25,自行研究報告,彰化縣政府計畫處,彰化縣政府,計畫處,,,35,486,年度、研究性質、研究單位、計畫名稱
26,彰化縣現住人口之年齡結構,彰化縣政府主計處,彰化縣政府,主計處,,,81,559,區域別、性別、0歲、1歲、2歲、3歲、4歲、5歲、6歲、7歲、8歲、9歲、10歲、11歲、12歲、13歲、14歲、15歲、16歲、17歲、18歲、19歲、20歲、21歲、22歲、23歲、24歲、25歲、26歲、27歲、28歲、29歲、30歲、31歲、32歲、33歲、34歲、35歲、36歲、37歲、38歲、39歲、40歲、41歲、42歲、43歲、44歲、45歲、46歲、47歲、48歲、49歲、50歲、51歲、52歲、53歲、54歲、55歲、56歲、57歲、58歲、59歲、60歲、61歲、62歲、63歲、64歲、65歲、66歲、67歲、68歲、69歲、70歲、71歲、72歲、73歲、74歲、75歲、76歲、77歲、78歲、79歲、80歲、81歲、82歲、83歲、84歲、85歲、86歲、87歲、88歲、89歲、90歲、91歲、92歲、93歲、94歲、95歲、96歲、97歲、98歲、99歲、100歲以上
27,彰化縣現住人口之婚姻狀況－按年齡別分,彰化縣政府主計處,彰化縣政府,主計處,,,55,555,年齡別、總計_計、總計_男、總計_女、未婚_計、未婚_男、未婚_女、有偶_計、有偶_男、有偶_女、離婚_計、離婚_男、離婚_女、喪偶_計、喪偶_男、喪偶_女
28,彰化縣現住人口之婚姻狀況－按鄉鎮市別分,彰化縣政府主計處,彰化縣政府,主計處,,,49,540,區域別、年齡別、總計_計、總計_男、總計_女、未婚_計、未婚_男、未婚_女、有偶_計、有偶_男、有偶_女、離婚_計、離婚_男、離婚_女、喪偶_計、喪偶_男、喪偶_女
29,彰化縣現住原住民戶口數,彰化縣政府主計處,彰化縣政府,主計處,,,48,505,區　域　別、戶　　別、總計_戶數、總計_計、總計_男、總計_女、平地原住民_戶數、平地原住民_計、平地原住民_男、平地原住民_女、山地原住民_戶數、山地原住民_計、山地原住民_男、山地原住民_女
30,彰化縣空氣品質人工及自動監測結果,彰化縣環境保護局,彰化縣政府,環境保護局,,,,,彰化縣空氣品質人工監測結果，包含測站名稱、測站編號、總懸浮微粒(μg/m3)、落塵量彰化縣空氣品質自動監測結果，包含日期(公噸/平方公里/月)、SO2、H2STHC、CH4、NMHC、風速、風向、溫度、濕度、室溫)
31,彰化縣空氣品質人工監測結果,彰化縣環境保護局,彰化縣政府,環境保護局,,,73,739,測站名稱、測站編號、起訖時間(起)、起訖時間(迄)、天候、TSP、PM10、正己烷抽出物、氯鹽、硝酸鹽、硫酸鹽、鉛、落塵量起訖日期(起)、落塵量起訖日期(迄)、落塵量(公噸/平方公里/月)、備註
32,彰化縣空氣品質自動監測結果,彰化縣環境保護局,彰化縣政府,環境保護局,,,124,1005,日期、SO2、H2S、THC、CH4、NMHC、風速、風向、溫度、濕度、室溫
33,彰化縣政府法律扶助諮詢服務統計表,彰化縣政府法制處,彰化縣政府,法制處,,,35,462,月份、債務糾紛、交通事故、物權糾紛、房屋租賃、刑事案件、親屬繼承、婚     姻、訴訟程序、訴願及行政訴訟、其      他、月份小計
34,彰化縣政府訴願、再審案件收辦統計表,彰化縣政府法制處,彰化縣政府,法制處,,,37,570,訴願上年收辦件數(未結)、訴願本年收辦件數(新收)、訴願辦結件數(作成決定－不受理)、訴願辦結件數(作成決定－駁回)、訴願辦結件數(作成決定－撤銷)、訴願辦結件數(被併案)、訴願辦結件數(審決期限－3個月內)、訴願辦結件數(審決期限－3~5個月)、訴願辦結件數(審決期限－逾5個月)、訴願辦結件數(提起行政訴訟)、訴願辦結件數(移轉)、訴願辦結件數(撤回)、訴願未結件數、再審上年收辦件數(未結)、再審本年收辦件數(新收)、再審辦結件數(作成決定－不受理)、再審辦結件數(作成決定－駁回)、再審辦結件數(作成決定－撤銷)、再審辦結件數(被併案)、再審辦結件數(審決期限－3個月內)、再審辦結件數(審決期限－3~5個月)、再審辦結件數(審決期限－逾5個月)、再審辦結件數(移轉)、再審辦結件數(撤回)、再審未結件數
35,彰化縣辦結國家賠償事件收結情形表,彰化縣政府法制處,彰化縣政府,法制處,,,32,472,項目別(直轄市及各縣市)、總件數、新收案件數、未結案件數（協議中－含在處理中）、未結案件數（訴訟中）、已結案件數（協議階段－成立）、已結案件數（協議階段－不成立）、已結案件數（協議階段－拒絕賠償）、已結案件數（協議階段－撤回）、已結案件數（協議階段－其他）、已結案件數（訴訟階段－勝訴）、已結案件數（訴訟階段－敗訴）、已結案件數（訴訟階段－一部敗訴、一部勝訴）、已結案件數（訴訟階段－法院和解）、已結案件數（訴訟階段－駁回）、已結案件數（訴訟階段－其他）、賠償情形（協議成立－賠償件數）、賠償情形（協議成立－賠償金額）、賠償情形（判決確定－賠償件數）、賠償情形（判決確定－賠償金額）、依國家賠償法第2條(賠償件數)、依國家賠償法第3條(賠償件數)、行使求償權（求償件數）、行使求償權（求償金額）、行使求償權（獲償件數）、行使求償權（獲償金額）
36,國立彰化師範大學校務基金104年12月會計報告,國立彰化師範大學,國立彰化師範大學,,,,,,國立彰化師範大學校務基金104年12月會計報告
37,國立彰化師範大學校務基金105年1月會計報告,國立彰化師範大學,國立彰化師範大學,,,,,,國立彰化師範大學校務基金105年1月會計報告
38,身障生活補助,彰化縣政府社會處,彰化縣政府,社會處,,,80,518,障礙等級、低收入戶(男)、低收入戶(女)、中低收入戶(男)、中低收入戶(女)、最低生活費1.5倍以上未達2.5倍者(男)、最低生活費1.5倍以上未達2.5倍者(女)
39,彰化縣總決算歲入歲出決算審定數簡明比較表,彰化縣政府主計處,彰化縣政府,主計處,,,43,819,"年度,項目,預算數,原列決算,決算審定數"
40,彰化縣總決算審定後收支簡明比較分析表,彰化縣政府主計處,彰化縣政府,主計處,,,37,891,"年度,項目,預算數,原列決算數,決算審定數,決算審定數與預算數比較增減"
41,彰化縣總決算平衡表,彰化縣政府主計處,彰化縣政府,主計處,,,50,1534,"年度,借方科目,貸方科目"
42,彰化縣農路改善及維護工程,彰化縣政府工務處,彰化縣政府,工務處,,,30,313,工程名稱、地        點、道  路  總  長  度、總  工  程  費
43,歲入來源別預算總表,彰化縣政府主計處,彰化縣政府,主計處,,,20,186,款、項、科目名稱、經常門、資本門、合計、說明
44,歲入歲出性質及餘絀簡明比較分析表,彰化縣政府主計處,彰化縣政府,主計處,,,27,541,經資門、歲入歲出、項目、本年度預算數金額、本年度預算數百分比、上年度預算數金額、上年度預算數百分比、前年度決算數金額、前年度決算數百分比、本年度與上年度比較金額、本年度與上年度比較增加率
45,歲入歲出簡明比較分析表,彰化縣政府主計處,彰化縣政府,主計處,,,24,442,歲入歲出、項目、本年度預算數金額、本年度預算數百分比、上年度預算數金額、上年度預算數百分比、前年度決算數金額、前年度決算數百分比、本年度與上年度比較金額、本年度與上年度比較增加率
