編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
2,國立雲林科技大學104年度預算書,國立雲林科技大學,國立雲林科技大學,,,,,,
10,「雲林縣重要統計資料庫」網址,雲林縣政府,雲林縣政府,,,,343,1646,網站網址
11,雲林縣西螺鎮最新債務訊息,雲林縣西螺鎮公所,雲林縣政府,西螺鎮公所,,,,,1年以上債務未償餘額、短期債務未償餘額、平均每人負擔債務、自償性債務未償餘額(含非營業特種基金)
17,婦幼科統整開放資料名冊,雲林縣政府,雲林縣政府,,,,70,1161,婦幼科統整開放資料名冊
18,104年社會處身心障礙社區小型作業單位名冊,雲林縣政府,雲林縣政府,,,,33,674,104年社會處身心障礙社區小型作業單位名冊
19,104年社會處身心障礙團體名冊,雲林縣政府,雲林縣政府,,,,34,517,104年社會處身心障礙團體名冊
20,104年雲林身障機構名冊公告,雲林縣政府,雲林縣政府,,,,26,577,104年雲林身障機構名冊公告
21,老人機構一覽表鄉鎮別,雲林縣政府,雲林縣政府,,,,159,797,老人機構一覽表鄉鎮別
22,雲林縣人民團體資料,雲林縣政府,雲林縣政府,,,,208,2402,雲林縣人民團體資料
23,雲林縣轄內各社區活動中心地址,雲林縣政府,雲林縣政府,,,,58,837,"社區發展協會名稱,活動中心地址"
24,雲林縣iTaiwan熱點,雲林縣政府,雲林縣政府,,,,82,668,"熱點名稱,區域,地址"
27,雲林縣地方級濕地,雲林縣政府,雲林縣政府,,,,34,441,雲林縣地方級濕地
28,YLCG-04-003文件表單清冊(ISMS99年版),雲林縣政府,雲林縣政府,,,,26,389,文件編號，文件/表單名稱，保管單位/人員，日 期，備 註
29,各鄉鎮市避難收容所,雲林縣政府,雲林縣政府,,,,210,1111,各鄉鎮市避難收容所
31,2015雲林十大伴手禮,雲林縣政府,雲林縣政府,,,,131,768,"編號,廠商名稱,聯絡電話,地址,獲獎年份,獲獎產品"
32,雲林站高鐵快捷公車時刻表,雲林縣政府,雲林縣政府,,,,77,969,雲林站高鐵快捷公車時刻表
33,2014雲林十大伴手禮,雲林縣政府,雲林縣政府,,,,43,558,"編號,廠商名稱,聯絡電話,地址,獲獎年份,獲獎產品"
34,雲林縣珍貴老樹一覽表,雲林縣政府,雲林縣政府,,,,62,636,生長位置，樹種，編號，推估樹齡，胸圍，胸徑，樹高，冠幅m2，座標，廟宇別(m)
