編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
19,嘉義縣iTaiwan熱點,嘉義縣政府,嘉義縣政府,,,,,,嘉義縣iTaiwan熱點
21,國立嘉義大學校務基金附屬單位預算,國立嘉義大學,國立嘉義大學,,,,,,國立嘉義大學校務基金附屬單位預算
22,國立嘉義大學103年度附屬單位決算,國立嘉義大學,國立嘉義大學,,,,,,收支餘絀決算表.餘絀撥補決算表.現金流量決算表.平衡表
23,國立嘉義大學104年度附屬單位預算,國立嘉義大學,國立嘉義大學,,,,,,國立嘉義大學104年度附屬單位預算
24,嘉義縣違反法令事業單位,嘉義縣社會局,嘉義縣政府,社會局,,,239,1285,項次、事業單位名稱(負責人姓名)、違反法令條款、違反法規內容、處分書文號、處分日期、備註
27,國立嘉義大學104年1月份會計報告,國立嘉義大學,國立嘉義大學,,,,,,含收支餘絀表.平衡表.購建固定資產計畫執行情形明細表
28,國立嘉義大學104年2月份會計報告,國立嘉義大學,國立嘉義大學,,,,,,含收支餘絀表.平衡表.購建固定資產計畫執行情形明細表
29,國立嘉義大學104年3月份會計報告,國立嘉義大學,國立嘉義大學,,,,,,含收支餘絀表.平衡表.購建固定資產計畫執行情形明細表
30,國立嘉義大學104年4月份會計報告,國立嘉義大學,國立嘉義大學,,,,,,含收支餘絀表.平衡表.購建固定資產計畫執行情形明細表
31,國立嘉義大學104年5月份會計報告,國立嘉義大學,國立嘉義大學,,,,,,含收支餘絀表.平衡表.購建固定資產計畫執行情形明細表
32,國立嘉義大學104年6月份會計報告,國立嘉義大學,國立嘉義大學,,,,,,含收支餘絀表.平衡表.購建固定資產計畫執行情形明細表
33,國立嘉義大學104年7月份會計報告,國立嘉義大學,國立嘉義大學,,,,,,含收支餘絀表.平衡表.購建固定資產計畫執行情形明細表
34,嘉義縣政府年度施政計畫,嘉義縣政府,嘉義縣政府,,,,59,1365,為利本府重要施政計畫及預算編列緊密配合，每年度開始前請各局處撰寫施政計畫，內含施政目標與重點、預算配合對照表及重要施政計畫等3表件
35,嘉義縣商業設立登記清冊,嘉義縣政府,嘉義縣政府,,,,,,嘉義縣商業每個月設立登記月報
36,議會定期會縣長口頭施政報告,嘉義縣政府,嘉義縣政府,,,,,,縣長口頭施政報告
37,嘉義縣民有市場名冊,嘉義縣政府,嘉義縣政府,,,,,,鄉鎮市、市集名稱、性質、經營方式、地址
38,政府自行研究得獎清冊,嘉義縣政府,嘉義縣政府,,,,42,897,研究計畫名稱、研究單位、研究人員、研究經費、研究期程
39,嘉義縣公有零售市場名冊,嘉義縣政府,嘉義縣政府,,,,87,1410,鄉鎮市、市集名稱、性質、經營方式、地址
40,嘉義縣傳統公有市場位置資訊,嘉義縣政府,嘉義縣政府,,,,61,1178,鄉鎮市、市集名稱、性質、經營方式、地址
41,嘉義縣縣管區域排水,嘉義縣政府,嘉義縣政府,,,,147,1635,鄉(鎮、市)、排水路名稱、排水出口、權責起點、權責終點、備註
42,嘉義縣現住人口數按性別及原住民身分分,嘉義縣政府,嘉義縣政府,,,,,,區域別、性別、總計、區域人口數、原住民人口數_合計、原住民人口數_平地原住民、原住民人口數_山地原住民
43,嘉義縣轄內抽水站,嘉義縣政府,嘉義縣政府,,,,59,1216,管理單位、水系、抽水站名稱及座標
44,嘉義縣村里鄰戶數、人口數與戶籍動態登記數按性別、登記項目及區域分,嘉義縣政府,嘉義縣政府,,,,,,區域別、村里數、鄰數、戶數、性別、人口數、遷出遷入數、住址變更數、初設戶籍人數、行政區域調整人數、出生死亡數、認領人數、收養人數、終止收養人數、監護人數、輔助人數、未成年子女權利義務行使負擔人數、結婚對數、離婚對數
45,嘉義縣現住人口數按性別及年齡分,嘉義縣政府,嘉義縣政府,,,,,,區域別、性別、總計、年齡
46,嘉義縣現住原住民人口數按性別及年齡分,嘉義縣政府,嘉義縣政府,,,,,,區域別、性別、總計、年齡
47,政府委託研究清冊,嘉義縣政府,嘉義縣政府,,,,32,939,承辦單位、研究計畫名稱、研究計畫摘要概述、研究計畫期間、研究經費、目前執行進度、研究方式
48,嘉義縣結婚人數按性別及原屬國籍(地區)分,嘉義縣政府,嘉義縣政府,,,,,,區域別、性別、總計、國籍別
49,嘉義縣離婚人數按性別及原屬國籍(地區)分,嘉義縣政府,嘉義縣政府,,,,,,區域別、性別、總計、國籍別
50,嘉義縣現住原住民人口數按性別、原住民身分及族別分,嘉義縣政府,嘉義縣政府,,,,,,區域別、性別、族別、總計
51,嘉義縣加油站點資訊,嘉義縣政府,嘉義縣政府,,,,112,1457,加油站名稱、地址
52,各處辦公室電話,嘉義縣政府,嘉義縣政府,,,,44,840,各處辦公室電話－excel
53,嘉義縣受理民眾陳情檢舉登記表,嘉義縣政府,嘉義縣政府,,,,,,具名/匿名、陳情類別、業管單位
54,嘉義縣廉政倫理事件登錄一覽表,嘉義縣政府,嘉義縣政府,,,,,,登錄機關、事件類型、登錄日期、地點、事件內容、處理情形
55,嘉義縣專案清查件數統計表,嘉義縣政府,嘉義縣政府,,,,,,辦理期間、專案清查名稱、自辦/交辦、清查成果概述
56,嘉義縣大客車禁行路段,嘉義縣政府,嘉義縣政府,,,,71,936,項次，縣市別，鄉鎮市區，路線路名，路線樁號，管制通行，路況概述，提報單位，公告日期及文號
57,嘉義縣大客車行駛應特別注意路段,嘉義縣政府,嘉義縣政府,,,,59,729,項次，縣市別，鄉鎮市區，路線路名，路線樁號，管制通行，路況概述，提報單位，單位來函(或公告函)
58,嘉義縣104年交通號誌及行人專用時相位置表,嘉義縣政府,嘉義縣政府,,,,,,鄉鎮市，編號，路段名稱，燈桿數，燈箱數形式，衛星，主控卡，副卡，通信卡，介面卡，輸出器，型號，狀況，備註
59,嘉義縣砂石車、大貨車禁行路段,嘉義縣政府,嘉義縣政府,,,,96,1437,編號，鄉鎮市別，禁行路段，禁行重量，替代道路，禁行時段，備註(總重)
60,嘉義縣各村里活動中心基本資料表,嘉義縣政府,嘉義縣政府,,,,,,活動中心名稱，負責人姓名，地址，電話
61,歷年自辦市地重劃成果統計表,嘉義縣政府,嘉義縣政府,,,,54,900,提供本縣自辦市地重劃之總面積、建築用地面積、工程費用等資料
62,歷年公辦農村社區土地重劃成果統計表,嘉義縣政府,嘉義縣政府,,,,0,25,提供本縣公辦農村社區土地重劃區名稱、鄉鎮、面積等資料
63,歷年早期農地重劃鄉鎮農水路更新改善資料統計表,嘉義縣政府,嘉義縣政府,,,,18,490,年度、鄉鎮市、重劃區別、更新改善面積(公頃)、農路改善長度(公尺)、核配經費
64,歷年辦理農地重劃成果統計表,嘉義縣政府,嘉義縣政府,,,,40,648,提供本縣公辦農地重劃區名稱、鄉鎮、面積等資料
65,鄉鎮_歷年農地重劃區更新改善一覽表,嘉義縣政府,嘉義縣政府,,,,,,提供本縣標售農地重劃區土地標售成果資料
66,嘉義縣法律扶助諮詢服務一覽表,嘉義縣政府,嘉義縣政府,,,,207,1471,提供法律諮詢的律師、服務時間、服務地點、助理人員及服務電話
67,國立嘉義大學104年8月份會計報告,國立嘉義大學,國立嘉義大學,,,,,,含收支餘絀表.平衡表.購建固定資產計畫執行情形明細表
68,嘉義縣市區公車運量資訊,嘉義縣政府,嘉義縣政府,,,,105,1097,路線編號，路線名稱，人數
