編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
18,花蓮縣政府公共債務公開資訊,花蓮縣政府,花蓮縣政府,,,,161,1731,1年以上債務未償餘額，未滿1年債務未償餘額，平均每人負擔債務，自償性債務未償餘額(含非營業特種基金)
21,花蓮縣新城鄉公所公共債務情形,花蓮縣新城鄉公所,花蓮縣政府,新城鄉公所,,,,,
22,花蓮縣富里鄉公所104年9月份最新債務訊息,花蓮縣富里鄉公所,花蓮縣政府,富里鄉公所,,,,,
23,花蓮縣花蓮市公所最新債務訊息,花蓮縣花蓮市公所,花蓮縣政府,花蓮市公所,,,,,有關花蓮縣花蓮市公所公共債務訊息
24,花蓮縣富里鄉公所104年10月份最新債務訊息,花蓮縣富里鄉公所,花蓮縣政府,富里鄉公所,,,,,
25,花蓮縣富里鄉公所104年9月份最新債務訊息,花蓮縣富里鄉公所,花蓮縣政府,富里鄉公所,,,,,截至104年9月底止，本所公共債務情形如下：一、1年以上債務未償餘額為0萬元。二、短期債務未償餘額為0萬元。三、平均每人負擔債務金額為0仟元。四、自償性債務未償餘額為0萬元(含非營業特種基金)
26,花蓮縣富里鄉公所104年10月份最新債務訊息,花蓮縣富里鄉公所,花蓮縣政府,富里鄉公所,,,,,截至104年10月底止，本所公共債務情形如下：一、1年以上債務未償餘額為0萬元。二、短期債務未償餘額為0萬元。三、平均每人負擔債務金額為0仟元。四、自償性債務未償餘額為0萬元(含非營業特種基金)
27,花蓮縣壽豐鄉公所104年9月公共債務訊息,花蓮縣壽豐鄉公所,花蓮縣政府,壽豐鄉公所,,,,,1年以上債務未償餘額為0元未滿1年債務未償餘額為0元平均每人負擔債務為0元自償性債務未償餘額為0元(含非營業特種基金)
28,花蓮縣壽豐鄉公所104年10月公共債務訊息,花蓮縣壽豐鄉公所,花蓮縣政府,壽豐鄉公所,,,,,1年以上債務未償餘額為0元未滿1年債務未償餘額為0元平均每人負擔債務為0元自償性債務未償餘額為0元(含非營業特種基金)
29,花蓮縣光復鄉公所公共債務訊息,花蓮縣光復鄉公所,花蓮縣政府,光復鄉公所,,,,,有關花蓮縣政府公共債務情形
31,花蓮縣卓溪鄉公所104年10月份最新債務訊息,花蓮縣卓溪鄉公所,花蓮縣政府,卓溪鄉公所,,,,,截至104年10月底止，本公所公共債務情形如下：一、1年以上債務未償餘額為0萬元。二、短期債務未償餘額為0萬元。三、平均每人負擔債務金額為0仟元。四、自償性債務未償餘額為0萬元(含非營業特種基金)
33,花蓮縣WI-FI無線上網地圖,花蓮縣政府,花蓮縣政府,,,,168,1282,無
34,花蓮縣歷年人口統計表,花蓮縣政府,花蓮縣政府,,,,506,3054,依各年度將本縣人口依總戶數 總人口數 男性人數 女性人數 平地原住民 山地原住民等欄位呈現
35,花蓮縣各觀光遊憩區遊客人數統計,花蓮縣政府,花蓮縣政府,,,,468,3092,依遊憩區呈現每月份遊客人數
36,花蓮縣老樹地圖,花蓮縣政府,花蓮縣政府,,,,137,1508,於地圖上顯示花蓮縣境內各鄉鎮老樹所在位置
37,花蓮縣災害救助收容場所,花蓮縣政府,花蓮縣政府,,,,103,1082,列出各鄉鎮之緊急收容場所地址電話及最大收容人數等資訊
38,花蓮縣居家護理機構清冊,花蓮縣政府,花蓮縣政府,,,,152,819,提供各居家護理場所之名稱地址電話等資訊
39,花蓮縣心理健康小站一覽表,花蓮縣政府,花蓮縣政府,,,,53,943,提供各鄉鎮心理健康小站地址及相關資訊
40,花蓮縣社區多元化血壓站服務據點,花蓮縣政府,花蓮縣政府,,,,81,943,提供各鄉鎮血壓站服務據點之名稱地址及開放時間
